Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Cambodia,Western Pacific,134352,803.59,1287,7.698,139,3048,18.231,5,0.03,1
Martinique,Americas,134344,35799.768,8123,2164.604,2974,904,240.896,4,1.066,0
Trinidad and Tobago,Americas,133151,9514.265,2619,187.14,218,3686,263.382,21,1.501,2
Rwanda,Africa,129610,1000.678,50,0.386,8,1459,11.264,0,0,0
Jamaica,Americas,128418,4336.736,190,6.416,18,2851,96.28,20,0.675,1
Guadeloupe,Americas,128353,32078.306,2097,524.088,0,924,230.928,5,1.25,0
Cameroon,Africa,119414,449.84,92,0.347,92,1926,7.255,0,0,0
Brunei Darussalam,Western Pacific,116924,26726.769,19906,4550.161,2553,120,27.43,22,5.029,1
Angola,Africa,98956,301.087,127,0.386,25,1900,5.781,0,0,0
Democratic Republic of the Congo,Africa,86426,96.499,155,0.173,51,1335,1.491,0,0,0
Senegal,Africa,85808,512.472,40,0.239,2,1964,11.73,2,0.012,0
Malawi,Africa,85515,447.022,75,0.392,11,2624,13.717,5,0.026,1
Côte d’Ivoire,Africa,81616,309.406,60,0.227,18,796,3.018,1,0.004,0
Suriname,Americas,78793,13431.419,214,36.479,30,1321,225.184,2,0.341,0
French Guiana,Americas,78220,26188.388,289,96.758,72,394,131.913,0,0,0
Malta,Europe,73192,14224.081,1065,206.971,194,617,119.907,7,1.36,2
French Polynesia,Western Pacific,70826,25213.237,1240,441.426,0,645,229.613,2,0.712,0
Eswatini,Africa,69478,5988.636,171,14.739,19,1392,119.983,1,0.086,0
Fiji,Western Pacific,64081,7148.347,47,5.243,0,834,93.034,0,0,0
Madagascar,Africa,63870,230.652,79,0.285,0,1377,4.973,4,0.014,0
Guyana,Americas,63147,8028.331,85,10.807,3,1225,155.743,2,0.254,1
Sudan,Eastern Mediterranean,61715,140.744,72,0.164,0,4874,11.115,9,0.021,0
New Caledonia,Western Pacific,59752,20929.043,883,309.284,194,305,106.831,1,0.35,0
Mauritania,Africa,58660,1261.598,8,0.172,1,981,21.098,1,0.022,0
Barbados,Americas,57102,19870.204,882,306.916,79,326,113.441,4,1.392,1
Belize,Americas,57071,14352.862,195,49.041,37,652,163.972,1,0.251,0
Cabo Verde,Africa,55911,10056.17,13,2.338,4,401,72.124,0,0,0
Syrian Arab Republic,Eastern Mediterranean,55431,316.737,291,1.663,32,3118,17.816,16,0.091,1
Gabon,Africa,47570,2137.272,11,0.494,0,303,13.613,0,0,0
Jersey,Europe,42018,38979.183,2216,2055.735,383,116,107.611,1,0.928,0
Papua New Guinea,Western Pacific,41533,464.21,0,0,0,639,7.142,0,0,0
Seychelles,Africa,39735,40402.859,207,210.479,0,163,165.74,0,0,0
Curaçao,Americas,39560,24108.28,375,228.529,375,265,161.494,1,0.609,1
Guam,Western Pacific,39157,23200.711,795,471.041,142,339,200.859,5,2.963,1
Andorra,Europe,38794,50209.021,84,108.717,0,152,196.726,0,0,0
Burundi,Africa,38296,322.065,87,0.732,17,15,0.126,0,0,0
Togo,Africa,36860,445.238,27,0.326,0,272,3.286,0,0,0
Mayotte,Africa,36745,13468.834,42,15.395,0,187,68.545,0,0,0
Guinea,Africa,36435,277.435,8,0.061,0,440,3.35,0,0,0
Faroe Islands,Europe,34658,70926.021,0,0,0,28,57.301,0,0,0
Aruba,Americas,33817,31673.941,85,79.613,85,212,198.565,0,0,0
United Republic of Tanzania,Africa,33773,56.539,47,0.079,47,800,1.339,0,0,0
Bahamas,Americas,33200,8442.595,20,5.086,0,773,196.57,2,0.509,0
Lesotho,Africa,32775,1529.934,68,3.174,0,697,32.536,0,0,0
Haiti,Americas,30473,267.248,40,0.351,0,827,7.253,0,0,0
Mali,Africa,30429,150.26,30,0.148,5,726,3.585,1,0.005,0
Benin,Africa,26952,222.318,377,3.11,377,163,1.345,0,0,0
Somalia,Eastern Mediterranean,26410,166.171,10,0.063,0,1361,8.563,2,0.013,0
Isle of Man,Europe,25019,29423.041,1272,1495.907,323,81,95.258,1,1.176,0
Congo,Africa,24049,435.821,8,0.145,0,378,6.85,0,0,0
Saint Lucia,Americas,22856,12446.971,68,37.032,3,365,198.773,3,1.634,0
Timor-Leste,South-East Asia,22789,1728.476,12,0.91,0,129,9.784,0,0,0
Burkina Faso,Africa,20751,99.272,0,0,0,375,1.794,0,0,0
Bhutan,South-East Asia,20116,2607.023,4170,540.43,681,7,0.907,0,0,0
Cayman Islands,Americas,20073,30543.214,262,398.661,0,22,33.475,4,6.086,0
Guernsey,Europe,17849,27686.604,2077,3221.753,2077,31,48.086,0,0,0
Tajikistan,Europe,17786,186.482,0,0,0,125,1.311,0,0,0
South Sudan,Africa,17073,152.523,58,0.518,6,138,1.233,1,0.009,0
Gibraltar,Europe,16148,47929.714,249,739.07,60,101,299.783,0,0,0
Equatorial Guinea,Africa,15898,1133.155,4,0.285,0,183,13.044,0,0,0
Djibouti,Eastern Mediterranean,15568,1575.709,18,1.822,0,189,19.13,0,0,0
United States Virgin Islands,Americas,15567,14907.35,127,121.618,11,109,104.381,0,0,0
San Marino,Europe,14834,43709.117,200,589.31,45,112,330.014,0,0,0
Liechtenstein,Europe,14528,37494.516,918,2369.216,0,76,196.144,0,0,0
Central African Republic,Africa,14327,296.64,7,0.145,-322,113,2.34,0,0,0
Nicaragua,Americas,14170,213.901,62,0.936,62,228,3.442,2,0.03,2
Grenada,Americas,13690,12166.402,0,0,0,216,191.961,0,0,0
Bermuda,Americas,11989,19252.324,246,395.035,90,125,200.729,2,3.212,1
Gambia,Africa,11973,495.434,10,0.414,0,365,15.103,0,0,0
Greenland,Europe,11901,20962.799,69,121.539,6,20,35.229,0,0,0
Yemen,Eastern Mediterranean,11793,39.539,12,0.04,0,2139,7.172,1,0.003,0
Dominica,Americas,11529,16014.502,114,158.353,0,62,86.122,0,0,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,10535,18303.595,306,531.647,63,31,53.86,1,1.737,0
Saint Martin,Americas,9908,25629.22,38,98.295,0,44,113.816,0,0,0
Monaco,Europe,9901,25229.334,296,754.255,74,51,129.956,0,0,0
Eritrea,Africa,9722,274.136,6,0.169,0,103,2.904,0,0,0
Sint Maarten,Americas,9629,22454.643,43,100.275,43,85,198.218,0,0,0
Solomon Islands,Western Pacific,9412,1370.246,1262,183.728,288,125,18.198,7,1.019,3
Niger,Africa,8781,36.275,14,0.058,0,308,1.272,1,0.004,0
Saint Vincent and the Grenadines,Americas,8326,7504.958,5,4.507,0,106,95.547,0,0,0
Comoros,Africa,8072,928.242,24,2.76,9,160,18.399,0,0,0
Guinea-Bissau,Africa,8071,410.112,38,1.931,3,169,8.587,2,0.102,1
Sierra Leone,Africa,7667,96.114,2,0.025,0,125,1.567,0,0,0
Antigua and Barbuda,Americas,7470,7627.975,15,15.317,4,135,137.855,0,0,0
Liberia,Africa,7397,146.253,10,0.198,0,294,5.813,0,0,0
Chad,Africa,7269,44.253,9,0.055,0,190,1.157,0,0,0
Bonaire,Americas,6950,33229.739,0,0,0,28,133.875,0,0,0
British Virgin Islands,Americas,6104,20187.188,13,42.994,13,62,205.047,0,0,0
Sao Tome and Principe,Africa,5937,2708.992,3,1.369,1,72,32.853,0,0,0
Turks and Caicos Islands,Americas,5874,15171.238,7,18.079,0,36,92.98,0,0,0
Saint Kitts and Nevis,Americas,5541,10416.98,5,9.4,1,42,78.959,0,0,0
Palau,Western Pacific,3922,21678.09,50,276.365,0,6,33.164,0,0,0
Saint Barthélemy,Americas,3763,38067.779,37,374.305,0,4,40.465,0,0,0
Kiribati,Western Pacific,3038,2543.345,38,31.813,5,13,10.883,0,0,0
Anguilla,Americas,2594,17291.028,20,133.316,20,9,59.992,0,0,0
Tonga,Western Pacific,2072,1960.358,852,806.093,0,2,1.892,2,1.892,0
Saint Pierre and Miquelon,Americas,1055,18205.349,0,0,0,1,17.256,0,0,0
American Samoa,Western Pacific,779,1411.309,427,773.593,163,0,0,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Sint Eustatius,Americas,485,15450.781,13,414.145,13,3,95.572,0,0,0
Cook Islands,Western Pacific,476,2710.089,302,1719.426,86,0,0,0,0,0
Wallis and Futuna,Western Pacific,453,4028.099,0,0,0,7,62.244,0,0,0
Vanuatu,Western Pacific,348,113.302,281,91.488,59,0,0,0,0,0
Saba,Americas,218,11277.807,7,362.131,7,0,0,0,0,0
Montserrat,Americas,171,3420.684,7,140.028,5,2,40.008,0,0,0
Falkland Islands (Malvinas),Americas,119,3416.595,3,86.133,1,0,0,0,0,0
Samoa,Western Pacific,48,24.192,7,3.528,0,0,0,0,0,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
Marshall Islands,Western Pacific,4,6.757,0,0,0,0,0,0,0,0
Niue,Western Pacific,1,61.805,1,61.805,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0
